post_id,user,text,created_at,category,likes,reposts,replies
post_28,user23@bsky.social,Sample Bluesky post content 28. This is a random text post.,2025-02-02 01:34:44,Science,91,8,3
post_29,user7@bsky.social,Sample Bluesky post content 29. This is a random text post.,2025-01-30 15:09:44,Health,77,30,9
post_30,user37@bsky.social,Sample Bluesky post content 30. This is a random text post.,2025-01-26 20:30:44,Tech,16,23,9
post_31,user14@bsky.social,Sample Bluesky post content 31. This is a random text post.,2025-02-18 01:05:44,Politics,21,25,7
post_32,user36@bsky.social,Sample Bluesky post content 32. This is a random text post.,2025-02-09 03:47:44,Science,3,40,11
post_33,user37@bsky.social,Sample Bluesky post content 33. This is a random text post.,2025-02-16 14:21:44,Politics,5,16,20
post_34,user37@bsky.social,Sample Bluesky post content 34. This is a random text post.,2025-02-16 14:34:44,Entertainment,9,42,3
post_35,user17@bsky.social,Sample Bluesky post content 35. This is a random text post.,2025-01-27 01:32:44,Entertainment,41,17,7
post_36,user10@bsky.social,Sample Bluesky post content 36. This is a random text post.,2025-02-19 21:09:44,Sports,51,10,5
post_37,user7@bsky.social,Sample Bluesky post content 37. This is a random text post.,2025-02-06 10:00:44,Tech,1,2,12
post_38,user39@bsky.social,Sample Bluesky post content 38. This is a random text post.,2025-02-17 15:26:44,Entertainment,8,12,9
post_39,user10@bsky.social,Sample Bluesky post content 39. This is a random text post.,2025-02-11 05:26:44,Tech,65,35,3
post_40,user32@bsky.social,Sample Bluesky post content 40. This is a random text post.,2025-01-27 01:13:44,Entertainment,27,1,1
post_41,user32@bsky.social,Sample Bluesky post content 41. This is a random text post.,2025-02-09 10:18:44,Tech,35,17,0
post_42,user17@bsky.social,Sample Bluesky post content 42. This is a random text post.,2025-02-16 14:55:44,Tech,49,1,6
post_43,user41@bsky.social,Sample Bluesky post content 43. This is a random text post.,2025-02-14 04:35:44,Sports,47,36,0
post_44,user35@bsky.social,Sample Bluesky post content 44. This is a random text post.,2025-02-08 16:22:44,Tech,99,15,6
post_45,user31@bsky.social,Sample Bluesky post content 45. This is a random text post.,2025-01-26 00:39:44,Politics,60,2,4
post_46,user42@bsky.social,Sample Bluesky post content 46. This is a random text post.,2025-02-18 18:16:44,Health,57,31,8
post_47,user25@bsky.social,Sample Bluesky post content 47. This is a random text post.,2025-01-31 13:23:44,Science,97,41,2
post_48,user8@bsky.social,Sample Bluesky post content 48. This is a random text post.,2025-02-19 23:19:44,Politics,11,6,2
post_49,user31@bsky.social,Sample Bluesky post content 49. This is a random text post.,2025-02-16 01:51:44,Tech,29,10,3
post_50,user4@bsky.social,Sample Bluesky post content 50. This is a random text post.,2025-02-15 03:08:44,Politics,73,6,12
post_51,user4@bsky.social,Sample Bluesky post content 51. This is a random text post.,2025-02-06 03:23:44,Entertainment,16,21,6
post_52,user31@bsky.social,Sample Bluesky post content 52. This is a random text post.,2025-02-17 11:47:44,Science,31,40,15
post_53,user11@bsky.social,Sample Bluesky post content 53. This is a random text post.,2025-01-29 22:20:44,Politics,27,40,7
post_54,user35@bsky.social,Sample Bluesky post content 54. This is a random text post.,2025-02-02 07:20:44,Entertainment,41,16,19
post_55,user8@bsky.social,Sample Bluesky post content 55. This is a random text post.,2025-01-30 02:02:44,Science,10,30,0
post_56,user20@bsky.social,Sample Bluesky post content 56. This is a random text post.,2025-02-17 01:40:44,Science,7,36,10
post_57,user21@bsky.social,Sample Bluesky post content 57. This is a random text post.,2025-02-04 23:38:44,Health,5,8,1
post_58,user27@bsky.social,Sample Bluesky post content 58. This is a random text post.,2025-02-14 19:33:44,Tech,44,50,16
post_59,user23@bsky.social,Sample Bluesky post content 59. This is a random text post.,2025-01-29 04:04:44,Health,11,30,4
post_60,user33@bsky.social,Sample Bluesky post content 60. This is a random text post.,2025-02-19 08:51:44,Politics,24,36,18
post_61,user19@bsky.social,Sample Bluesky post content 61. This is a random text post.,2025-01-30 08:14:44,Sports,84,34,17
post_62,user40@bsky.social,Sample Bluesky post content 62. This is a random text post.,2025-02-15 10:47:44,Tech,28,15,0
post_63,user14@bsky.social,Sample Bluesky post content 63. This is a random text post.,2025-02-06 12:33:44,Health,22,0,12
post_64,user15@bsky.social,Sample Bluesky post content 64. This is a random text post.,2025-02-15 19:12:44,Entertainment,17,30,20
post_65,user19@bsky.social,Sample Bluesky post content 65. This is a random text post.,2025-02-16 13:22:44,Sports,51,25,16
post_66,user47@bsky.social,Sample Bluesky post content 66. This is a random text post.,2025-01-30 01:45:44,Sports,24,6,9
post_67,user34@bsky.social,Sample Bluesky post content 67. This is a random text post.,2025-01-26 10:30:44,Sports,48,46,7
post_68,user45@bsky.social,Sample Bluesky post content 68. This is a random text post.,2025-02-21 12:36:44,Politics,80,42,11
post_69,user16@bsky.social,Sample Bluesky post content 69. This is a random text post.,2025-02-15 00:20:44,Entertainment,86,48,0
post_70,user37@bsky.social,Sample Bluesky post content 70. This is a random text post.,2025-02-20 20:13:44,Tech,44,38,17
post_71,user42@bsky.social,Sample Bluesky post content 71. This is a random text post.,2025-02-03 08:35:44,Health,86,27,15
post_72,user33@bsky.social,Sample Bluesky post content 72. This is a random text post.,2025-02-02 13:30:44,Politics,5,39,17
post_73,user49@bsky.social,Sample Bluesky post content 73. This is a random text post.,2025-02-11 13:03:44,Science,70,50,4
post_74,user43@bsky.social,Sample Bluesky post content 74. This is a random text post.,2025-02-03 19:50:44,Science,83,43,20
post_75,user32@bsky.social,Sample Bluesky post content 75. This is a random text post.,2025-02-11 04:21:44,Entertainment,41,45,15
post_76,user23@bsky.social,Sample Bluesky post content 76. This is a random text post.,2025-01-29 21:54:44,Sports,27,45,8
post_77,user28@bsky.social,Sample Bluesky post content 77. This is a random text post.,2025-02-18 03:09:44,Health,98,3,8
post_78,user3@bsky.social,Sample Bluesky post content 78. This is a random text post.,2025-01-30 14:03:44,Politics,71,17,9
post_79,user11@bsky.social,Sample Bluesky post content 79. This is a random text post.,2025-02-18 13:30:44,Entertainment,67,11,9
post_80,user44@bsky.social,Sample Bluesky post content 80. This is a random text post.,2025-02-09 12:13:44,Entertainment,6,0,9
post_81,user20@bsky.social,Sample Bluesky post content 81. This is a random text post.,2025-02-21 14:28:44,Politics,82,45,0
post_82,user47@bsky.social,Sample Bluesky post content 82. This is a random text post.,2025-01-27 17:44:44,Entertainment,20,2,17
post_83,user11@bsky.social,Sample Bluesky post content 83. This is a random text post.,2025-02-02 12:02:44,Science,3,36,12
post_84,user11@bsky.social,Sample Bluesky post content 84. This is a random text post.,2025-02-08 12:46:44,Science,9,4,0
post_85,user32@bsky.social,Sample Bluesky post content 85. This is a random text post.,2025-02-16 09:21:44,Science,59,30,8
post_86,user8@bsky.social,Sample Bluesky post content 86. This is a random text post.,2025-02-04 11:12:44,Politics,86,17,3
post_87,user4@bsky.social,Sample Bluesky post content 87. This is a random text post.,2025-02-11 04:08:44,Politics,86,9,1
post_88,user27@bsky.social,Sample Bluesky post content 88. This is a random text post.,2025-02-08 21:22:44,Entertainment,80,39,10
post_89,user33@bsky.social,Sample Bluesky post content 89. This is a random text post.,2025-02-10 17:42:44,Health,70,20,0
post_90,user36@bsky.social,Sample Bluesky post content 90. This is a random text post.,2025-01-31 00:35:44,Politics,7,21,16
post_91,user39@bsky.social,Sample Bluesky post content 91. This is a random text post.,2025-02-06 18:16:44,Science,58,50,10
post_92,user12@bsky.social,Sample Bluesky post content 92. This is a random text post.,2025-02-22 15:12:44,Entertainment,82,29,5
post_93,user25@bsky.social,Sample Bluesky post content 93. This is a random text post.,2025-01-25 17:36:44,Health,95,16,6
post_94,user1@bsky.social,Sample Bluesky post content 94. This is a random text post.,2025-02-22 09:09:44,Science,36,30,17
post_95,user39@bsky.social,Sample Bluesky post content 95. This is a random text post.,2025-01-30 23:24:44,Sports,16,30,9
post_96,user3@bsky.social,Sample Bluesky post content 96. This is a random text post.,2025-02-06 08:51:44,Health,9,33,20
post_97,user38@bsky.social,Sample Bluesky post content 97. This is a random text post.,2025-02-13 13:55:44,Politics,17,41,8
post_98,user6@bsky.social,Sample Bluesky post content 98. This is a random text post.,2025-02-21 11:09:44,Tech,86,39,9
post_99,user11@bsky.social,Sample Bluesky post content 99. This is a random text post.,2025-02-03 18:08:44,Tech,35,11,4
post_100,user22@bsky.social,Sample Bluesky post content 100. This is a random text post.,2025-02-09 06:20:44,Science,33,18,7
post_101,user35@bsky.social,Sample Bluesky post content 101. This is a random text post.,2025-01-30 04:37:44,Politics,41,6,1
post_102,user24@bsky.social,Sample Bluesky post content 102. This is a random text post.,2025-02-01 13:23:44,Science,72,25,15
post_103,user14@bsky.social,Sample Bluesky post content 103. This is a random text post.,2025-01-31 13:06:44,Entertainment,11,12,1
post_104,user21@bsky.social,Sample Bluesky post content 104. This is a random text post.,2025-01-27 02:41:44,Sports,72,14,15
post_105,user11@bsky.social,Sample Bluesky post content 105. This is a random text post.,2025-02-23 09:36:44,Politics,18,33,8
post_106,user28@bsky.social,Sample Bluesky post content 106. This is a random text post.,2025-02-09 23:16:44,Science,33,41,15
post_107,user25@bsky.social,Sample Bluesky post content 107. This is a random text post.,2025-02-22 08:05:44,Tech,85,4,14
post_108,user46@bsky.social,Sample Bluesky post content 108. This is a random text post.,2025-02-04 07:46:44,Entertainment,99,18,15
post_109,user20@bsky.social,Sample Bluesky post content 109. This is a random text post.,2025-02-03 10:00:44,Entertainment,69,6,0
post_110,user46@bsky.social,Sample Bluesky post content 110. This is a random text post.,2025-02-20 19:44:44,Tech,58,12,5
post_111,user1@bsky.social,Sample Bluesky post content 111. This is a random text post.,2025-02-01 20:51:44,Politics,39,26,5
post_112,user3@bsky.social,Sample Bluesky post content 112. This is a random text post.,2025-02-09 10:48:44,Tech,17,32,7
post_113,user11@bsky.social,Sample Bluesky post content 113. This is a random text post.,2025-02-13 02:32:44,Science,1,16,9
post_114,user34@bsky.social,Sample Bluesky post content 114. This is a random text post.,2025-02-15 00:21:44,Health,4,45,3
post_115,user9@bsky.social,Sample Bluesky post content 115. This is a random text post.,2025-02-07 13:46:44,Health,98,33,3
post_116,user8@bsky.social,Sample Bluesky post content 116. This is a random text post.,2025-01-27 20:35:44,Sports,42,20,8
post_117,user32@bsky.social,Sample Bluesky post content 117. This is a random text post.,2025-02-04 17:22:44,Politics,27,18,6
post_118,user17@bsky.social,Sample Bluesky post content 118. This is a random text post.,2025-02-16 00:54:44,Politics,69,15,18
post_119,user43@bsky.social,Sample Bluesky post content 119. This is a random text post.,2025-02-08 11:45:44,Entertainment,95,4,14
post_120,user44@bsky.social,Sample Bluesky post content 120. This is a random text post.,2025-02-22 08:09:44,Politics,66,38,20
post_121,user4@bsky.social,Sample Bluesky post content 121. This is a random text post.,2025-02-19 13:28:44,Tech,22,37,9
post_122,user41@bsky.social,Sample Bluesky post content 122. This is a random text post.,2025-02-13 12:35:44,Entertainment,81,50,15
post_123,user40@bsky.social,Sample Bluesky post content 123. This is a random text post.,2025-01-30 02:19:44,Science,83,41,12
post_124,user29@bsky.social,Sample Bluesky post content 124. This is a random text post.,2025-02-04 07:10:44,Science,44,45,3
post_125,user39@bsky.social,Sample Bluesky post content 125. This is a random text post.,2025-02-02 08:49:44,Politics,47,34,1
post_126,user26@bsky.social,Sample Bluesky post content 126. This is a random text post.,2025-02-05 09:23:44,Entertainment,27,10,20
post_127,user20@bsky.social,Sample Bluesky post content 127. This is a random text post.,2025-02-05 20:38:44,Health,95,5,10
post_128,user13@bsky.social,Sample Bluesky post content 128. This is a random text post.,2025-02-19 01:30:44,Sports,26,40,20
post_129,user22@bsky.social,Sample Bluesky post content 129. This is a random text post.,2025-01-30 11:02:44,Tech,31,26,5
post_130,user3@bsky.social,Sample Bluesky post content 130. This is a random text post.,2025-02-11 22:13:44,Health,13,38,12
post_131,user50@bsky.social,Sample Bluesky post content 131. This is a random text post.,2025-01-27 16:43:44,Health,28,32,2
post_132,user29@bsky.social,Sample Bluesky post content 132. This is a random text post.,2025-01-30 23:55:44,Politics,83,17,7
post_133,user46@bsky.social,Sample Bluesky post content 133. This is a random text post.,2025-02-17 06:10:44,Health,58,18,1
post_134,user30@bsky.social,Sample Bluesky post content 134. This is a random text post.,2025-01-28 14:55:44,Entertainment,59,42,18
post_135,user41@bsky.social,Sample Bluesky post content 135. This is a random text post.,2025-02-23 16:06:44,Science,19,3,13
post_136,user16@bsky.social,Sample Bluesky post content 136. This is a random text post.,2025-02-04 16:43:44,Health,61,28,8
post_137,user43@bsky.social,Sample Bluesky post content 137. This is a random text post.,2025-02-18 23:54:44,Health,43,30,10
post_138,user12@bsky.social,Sample Bluesky post content 138. This is a random text post.,2025-02-12 04:10:44,Politics,53,17,4
post_139,user24@bsky.social,Sample Bluesky post content 139. This is a random text post.,2025-02-01 06:34:44,Tech,100,30,20
post_140,user19@bsky.social,Sample Bluesky post content 140. This is a random text post.,2025-02-23 04:18:44,Tech,47,25,14
post_141,user38@bsky.social,Sample Bluesky post content 141. This is a random text post.,2025-02-14 01:57:44,Entertainment,44,26,10
post_142,user1@bsky.social,Sample Bluesky post content 142. This is a random text post.,2025-02-02 19:41:44,Entertainment,24,38,5
post_143,user46@bsky.social,Sample Bluesky post content 143. This is a random text post.,2025-02-10 23:08:44,Science,39,40,10
post_144,user22@bsky.social,Sample Bluesky post content 144. This is a random text post.,2025-01-27 00:27:44,Entertainment,7,4,16
post_145,user1@bsky.social,Sample Bluesky post content 145. This is a random text post.,2025-02-14 21:19:44,Science,28,42,5
post_146,user12@bsky.social,Sample Bluesky post content 146. This is a random text post.,2025-02-18 21:21:44,Entertainment,43,21,1
post_147,user46@bsky.social,Sample Bluesky post content 147. This is a random text post.,2025-01-26 00:43:44,Tech,97,23,11
post_148,user26@bsky.social,Sample Bluesky post content 148. This is a random text post.,2025-02-04 20:19:44,Science,19,17,15
post_149,user23@bsky.social,Sample Bluesky post content 149. This is a random text post.,2025-01-27 05:52:44,Science,23,42,4
post_150,user39@bsky.social,Sample Bluesky post content 150. This is a random text post.,2025-01-27 00:54:44,Sports,43,14,18
post_151,user13@bsky.social,Sample Bluesky post content 151. This is a random text post.,2025-02-21 20:15:44,Tech,65,38,12
post_152,user23@bsky.social,Sample Bluesky post content 152. This is a random text post.,2025-01-26 14:47:44,Sports,77,21,1
post_153,user17@bsky.social,Sample Bluesky post content 153. This is a random text post.,2025-02-19 11:07:44,Entertainment,70,31,3
post_154,user45@bsky.social,Sample Bluesky post content 154. This is a random text post.,2025-02-06 03:47:44,Politics,51,2,12
post_155,user27@bsky.social,Sample Bluesky post content 155. This is a random text post.,2025-02-02 20:27:44,Science,25,31,3
post_156,user9@bsky.social,Sample Bluesky post content 156. This is a random text post.,2025-02-13 12:01:44,Science,42,22,19
post_157,user28@bsky.social,Sample Bluesky post content 157. This is a random text post.,2025-02-22 16:27:44,Entertainment,54,18,18
post_158,user35@bsky.social,Sample Bluesky post content 158. This is a random text post.,2025-02-18 00:51:44,Tech,80,41,1
post_159,user40@bsky.social,Sample Bluesky post content 159. This is a random text post.,2025-01-28 00:15:44,Politics,5,23,10
post_160,user28@bsky.social,Sample Bluesky post content 160. This is a random text post.,2025-02-06 15:26:44,Science,36,49,14
post_161,user9@bsky.social,Sample Bluesky post content 161. This is a random text post.,2025-02-14 10:34:44,Entertainment,79,41,4
post_162,user17@bsky.social,Sample Bluesky post content 162. This is a random text post.,2025-02-05 01:04:44,Entertainment,83,15,9
post_163,user8@bsky.social,Sample Bluesky post content 163. This is a random text post.,2025-02-23 05:50:44,Science,9,14,18
post_164,user50@bsky.social,Sample Bluesky post content 164. This is a random text post.,2025-02-02 10:33:44,Entertainment,56,23,12
post_165,user40@bsky.social,Sample Bluesky post content 165. This is a random text post.,2025-02-03 19:35:44,Sports,39,7,3
post_166,user41@bsky.social,Sample Bluesky post content 166. This is a random text post.,2025-02-10 04:03:44,Politics,89,11,4
post_167,user40@bsky.social,Sample Bluesky post content 167. This is a random text post.,2025-02-01 15:58:44,Science,70,14,8
post_168,user13@bsky.social,Sample Bluesky post content 168. This is a random text post.,2025-02-17 16:17:44,Politics,61,1,7
post_169,user45@bsky.social,Sample Bluesky post content 169. This is a random text post.,2025-02-05 03:36:44,Science,47,4,0
post_170,user21@bsky.social,Sample Bluesky post content 170. This is a random text post.,2025-02-01 17:26:44,Politics,86,18,17
post_171,user35@bsky.social,Sample Bluesky post content 171. This is a random text post.,2025-02-13 07:41:44,Tech,93,26,7
post_172,user2@bsky.social,Sample Bluesky post content 172. This is a random text post.,2025-01-29 05:07:44,Science,71,2,15
post_173,user23@bsky.social,Sample Bluesky post content 173. This is a random text post.,2025-01-25 20:05:44,Science,69,39,7
post_174,user2@bsky.social,Sample Bluesky post content 174. This is a random text post.,2025-02-02 00:05:44,Entertainment,70,34,8
post_175,user40@bsky.social,Sample Bluesky post content 175. This is a random text post.,2025-02-01 11:29:44,Politics,91,2,5
post_176,user20@bsky.social,Sample Bluesky post content 176. This is a random text post.,2025-02-06 04:48:44,Science,58,9,0
post_177,user12@bsky.social,Sample Bluesky post content 177. This is a random text post.,2025-02-19 04:51:44,Health,68,30,20
post_178,user15@bsky.social,Sample Bluesky post content 178. This is a random text post.,2025-02-03 14:03:44,Science,99,33,10
post_179,user22@bsky.social,Sample Bluesky post content 179. This is a random text post.,2025-02-09 01:08:44,Entertainment,95,16,16
post_180,user34@bsky.social,Sample Bluesky post content 180. This is a random text post.,2025-02-07 12:26:44,Health,30,0,9
post_181,user5@bsky.social,Sample Bluesky post content 181. This is a random text post.,2025-02-10 00:09:44,Politics,20,21,16
post_182,user42@bsky.social,Sample Bluesky post content 182. This is a random text post.,2025-02-02 22:45:44,Health,86,3,8
post_183,user42@bsky.social,Sample Bluesky post content 183. This is a random text post.,2025-01-30 07:03:44,Sports,40,31,8
post_184,user6@bsky.social,Sample Bluesky post content 184. This is a random text post.,2025-02-07 19:11:44,Health,90,15,20
post_185,user48@bsky.social,Sample Bluesky post content 185. This is a random text post.,2025-01-27 06:40:44,Politics,73,17,15
post_186,user41@bsky.social,Sample Bluesky post content 186. This is a random text post.,2025-01-28 07:23:44,Entertainment,71,8,17
post_187,user35@bsky.social,Sample Bluesky post content 187. This is a random text post.,2025-02-14 01:41:44,Health,92,16,14
post_188,user47@bsky.social,Sample Bluesky post content 188. This is a random text post.,2025-01-26 21:17:44,Politics,48,33,6
post_189,user49@bsky.social,Sample Bluesky post content 189. This is a random text post.,2025-01-27 07:41:44,Politics,5,33,0
post_190,user37@bsky.social,Sample Bluesky post content 190. This is a random text post.,2025-01-30 22:02:44,Health,90,4,15
post_191,user29@bsky.social,Sample Bluesky post content 191. This is a random text post.,2025-02-14 01:59:44,Entertainment,69,40,0
post_192,user49@bsky.social,Sample Bluesky post content 192. This is a random text post.,2025-02-10 21:53:44,Science,89,13,17
post_193,user33@bsky.social,Sample Bluesky post content 193. This is a random text post.,2025-02-21 15:06:44,Science,82,50,4
post_194,user50@bsky.social,Sample Bluesky post content 194. This is a random text post.,2025-02-15 03:47:44,Entertainment,95,38,8
post_195,user3@bsky.social,Sample Bluesky post content 195. This is a random text post.,2025-02-15 06:57:44,Entertainment,27,16,0
post_196,user7@bsky.social,Sample Bluesky post content 196. This is a random text post.,2025-02-19 16:09:44,Science,57,7,8
post_197,user49@bsky.social,Sample Bluesky post content 197. This is a random text post.,2025-02-23 04:06:44,Health,98,9,9
post_198,user25@bsky.social,Sample Bluesky post content 198. This is a random text post.,2025-02-15 23:38:44,Entertainment,60,12,18
post_199,user3@bsky.social,Sample Bluesky post content 199. This is a random text post.,2025-02-16 06:01:44,Entertainment,10,37,19
post_200,user11@bsky.social,Sample Bluesky post content 200. This is a random text post.,2025-02-22 22:50:44,Politics,7,18,6
